㓥,tong1
一百零几,jat1 baak3 ling4 gei2
一百零幾,jat1 baak3 ling4 gei2
一直,jat1 zik6
一笔过,jat1 bat1 gwo3
一筆過,jat1 bat1 gwo3
一系,jat1 hai6
一級,jat1 kap1
一级,jat1 kap1
一般,jat1 bun1
一般人,jat1 bun1 jan4
一萬,jat1 maan6
一萬九千幾,jat1 maan6 gau2 cin1 gei2
一萬五千幾,jat1 maan6 ng5 cin1 gei2
一萬四千,jat1 maan6 sei3 cin1
一號,jat1 hou6
一視同仁,jat1 si6 tung4 jan4
一视同仁,jat1 si6 tung4 jan4
一路,jat1 lou6
一路以來,jat1 lou6 ji5 lai4
一路以来,jat1 lou6 ji5 lai4
一輪,jat1 leon4
一轮,jat1 leon4
一边,jat1 bin1
一邊,jat1 bin1
一阵,jat1 zan6
一阵间,jat1 zan6 gaan1
一陣,jat1 zan6
一陣間,jat1 zan6 gaan1
一零八,jat1 ling4 baat3
一零四,jat1 ling4 sei3
一點,jat1 dim2
一齊,jat1 cai4
一齐,jat1 cai4
七,cat1
七七八八,cat1 cat1 baat3 baat3
七万,cat1 maan6
七八九,cat1 baat3 gau2
七几,cat1 gei2
七几年,cat1 gei2 nin4
七十,cat1 sap6
七十七,cat1 sap6 cat1
七十八,cat1 sap6 baat3
七十几,cat1 sap6 gei2
七十幾,cat1 sap6 gei2
七千,cat1 cin1
七四七,cat1 sei3 cat1
七宗罪,cat1 zung1 zeoi6
七幾,cat1 gei2
七幾年,cat1 gei2 nin4
七彩,cat1 coi2
七彩神仙,cat1 coi2 san4 sin1
七月,cat1 jyut6
七点,cat1 dim2
七点钟,cat1 dim2 zung1
七百,cat1 baak3
七萬,cat1 maan6
七點,cat1 dim2
七點鐘,cat1 dim2 zung1
万,maan6
万一,maan6 jat1
万七,maan6 cat1
万五,maan6 ng5
万八,maan6 baat3
万六,maan6 luk6
万四,maan6 sei3
万年油,maan6 nin4 jau4
三,saam1
三万,saam1 maan6
三万几,saam1 maan6 gei2
三保,saam1 bou2
三分一,saam1 fan6 jat1
三分二,saam1 fan6 ji6
三十,saam1 sap6
三十万,saam1 sap6 maan6
三十三,saam1 sap6 saam1
三十九,saam1 sap6 gau2
三十二,saam1 sap6 ji6
三十几,saam1 sap6 gei2
三十几万,saam1 sap6 gei2 maan6
三十号,saam1 sap6 hou6
三十幾,saam1 sap6 gei2
三十幾萬,saam1 sap6 gei2 maan6
三十萬,saam1 sap6 maan6
三十號,saam1 sap6 hou6
三千,saam1 cin1
三千零,saam1 cin1 leng4
三号,saam1 hou6
三四,saam1 sei3
三国志,saam1 gwok3 zi3
三國誌,saam1 gwok3 zi3
三婶,saam1 sam2
三嬸,saam1 sam2
三成,saam1 sing4
三月,saam1 jyut6
三流,saam1 lau4
三点,saam1 dim2
三点几,saam1 dim2 gei2
三点钟,saam1 dim2 zung1
三百,saam1 baak3
三百九十,saam1 baak3 gau2 sap6
三百二,saam1 baak3 ji6
三百五十万,saam1 baak3 ng5 sap6 maan6
三百五十萬,saam1 baak3 ng5 sap6 maan6
三百几,saam1 baak3 gei2
三百幾,saam1 baak3 gei2
三級片,saam1 kap1 pin2
三级片,saam1 kap1 pin2
三菱,saam1 ling4
三萬,saam1 maan6
三萬幾,saam1 maan6 gei2
三號,saam1 hou6
三角洲,saam1 gok3 zau1
三點,saam1 dim2
三點幾,saam1 dim2 gei2
三點鐘,saam1 dim2 zung1
三𠻺,saa1 aa6
三𠻺几,saa1 aa6 gei2
三𠻺幾,saa1 aa6 gei2
上,soeng5
上下,soeng6 haa2
上來,soeng5 lai4
上冊,soeng6 caak3
上册,soeng6 caak3
上去,soeng5 heoi3
上台,soeng5 toi4
上司,soeng6 si1
上堂,soeng5 tong4
上层,soeng6 cang4
上層,soeng6 cang4
上市,soeng5 si5
上帝,soeng6 dai3
上年,soeng6 nin2
上庭,soeng5 ting4
上得山多,soeng5 dak1 saan1 do1
上来,soeng5 lai4
上次,soeng6 ci3
上海,soeng6 hoi2
上海市,soeng6 hoi2 si5
上海風雲,soeng6 hoi2 fung1 wan4
上海风云,soeng6 hoi2 fung1 wan4
上班,soeng5 baan1
上網,soeng5 mong5
上网,soeng5 mong5
上臺,soeng5 toi4
上路,soeng5 lou6
上身,soeng5 san1
上边,soeng6 bin6
上邊,soeng6 bin6
上鎖,soeng5 so2
上鏡,soeng5 geng3
上锁,soeng5 so2
上镜,soeng5 geng3
上集,soeng6 zaap6
上面,soeng6 min6
下,haa5
下下,haa5 haa5
下个,haa6 go3
下個,haa6 go3
下冊,haa6 caak3
下册,haa6 caak3
下午,haa6 m5
下层,haa6 cang4
下層,haa6 cang4
下年,haa6 nin2
下栏,haa6 laan4
下欄,haa6 laan4
下次,haa6 ci3
下調,haa6 tiu4
下调,haa6 tiu4
下边,haa6 bin6
下邊,haa6 bin6
不,bat1
不以为意,bat1 ji5 wai4 ji3
不以為意,bat1 ji5 wai4 ji3
不停,bat1 ting4
不同,bat1 tung4
不如,bat1 jyu4
不妨,bat1 fong4
不嬲,bat1 nau1
不容置疑,bat1 jung4 zi3 ji4
不得了,bat1 dak1 liu5
不惜,bat1 sik1
不愿置评,bat1 jyun6 zi3 ping4
不断,bat1 dyun6
不斷,bat1 dyun6
不时,bat1 si4
不明飛行物,bat1 ming4 fei1 hang4 mat6 tai2
不明飞行物,bat1 ming4 fei1 hang4 mat6 tai2
不時,bat1 si4
不法之徒,bat1 faat3 zi1 tou4
不济,baat1 zai3
不满,bat1 mun5
不滿,bat1 mun5
不濟,baat1 zai3
不特止,bat1 dak6 zi2
不知所謂,bat1 zi1 so2 wai6
不知所谓,bat1 zi1 so2 wai6
不符,bat1 fu4
不能,bat1 nang4
不論,bat1 leon6
不论,bat1 leon6
不足,bat1 zuk1
不过,bat1 gwo3
不过不失,bat1 gwo3 bat1 sat1
不過,bat1 gwo3
不過不失,bat1 gwo3 bat1 sat1
不願置評,bat1 jyun6 zi3 ping4
与,jyu5
与众不同,jyu5 zung3 bat1 tung4
与其,jyu5 kei4
丐,koi3
丑,cau2
专,zyun1
专业,zyun1 jip6
专利,zyun1 lei6
专家,zyun1 gaa1
专心,zyun1 sam1
专有,zyun1 jau5
专栏,zyun1 laan4
专注,zyun1 zyu3
专登,zyun1 dang1
专科,zyun1 fo1
专系,zyun1 hai6
专线,zyun1 sin3
专门,zyun1 mun2
世,sai3
世傑,sai3 git6
世杰,sai3 git6
世界,sai3 gaai3
世界性,sai3 gaai3 sing3
世界杯,sai3 gaai3 bui1
世界盃,sai3 gaai3 bui1
世紀,sai3 gei2
世纪,sai3 gei2
丙,bing2
业,jip6
业主,jip6 zyu2
业余,jip6 jyu4
业内,jip6 noi6
业务,jip6 mou6
东主,dung1 zyu2
东亚银行,dung1 aa3 ngan4 hong4
东京,dung1 ging1
东方188,dung1 fong1 jat1 baat3 baat3
东莞,dung1 gun2
丝绸之路,si1 cau4 zi1 lou6
两,loeng5
两万,loeng5 maan6
两三,loeng5 saam1
两个半,loeng5 go3 bun3
两性,loeng5 sing3
两成,loeng5 sing4
两点,loeng5 dim2
两点半,loeng5 dim2 bun3
严冬,jim4 dung1
严厉,jim4 lai6
严肃,jim4 suk1
严重,jim4 zung6
並且,bing6 ce2
丧失,song3 sat1
个,go3
个三,go3 saam1
个个,go3 go3
个人,go3 jan4
个八,go3 baat3
个别,go3 bit6
个半,go3 bun3
个案,go3 on3
中,zung1
中下,zung1 haa6
中五,zung1 ng5
中产,zung1 caan2
中产人士,zung1 caan2 jan4 si6
中位,zung1 wai2
中信泰富,zung1 seon3 taai3 fu3
中六,zung1 luk6
中兴,zung1 hing1
中医,zung1 ji1
中医医院,zung1 ji1 ji1 jyun2
中南海,zung1 laam4 hoi2
中国,zung1 gwok3
中国人,zung1 gwok3 jan4
中國,zung1 gwok3
中國人,zung1 gwok3 jan4
中场,zung1 coeng4
中場,zung1 coeng4
中大,zung1 daai6
中央,zung1 joeng1
中学,zung1 hok6
中學,zung1 hok6
中层,zung1 cang4
中層,zung1 cang4
中年,zung1 nin4
中心,zung1 sam1
中招,zung3 ziu1
中文,zung1 man2
中文版,zung1 man4 baan2
中產,zung1 caan2
中產人士,zung1 caan2 jan4 si6
中等,zung1 ting2
中興,zung1 hing1
中途,zung1 tou4
中醫,zung1 ji1
中醫醫院,zung1 ji1 ji1 jyun2
中間,zung1 gaan1
中间,zung1 gaan1
丰,fung1
丰泽,fung1 zaak6
串,cyun3
临,lam4
临尾,lam4 mei1
临时,lam4 si4
临行,lam4 haang4
临走,lam4 zau2
丹尼逊,daan1 nei4 seon3
丹尼遜,daan1 nei4 seon3
丹麥,daan1 mak6
丹麦,daan1 mak6
为,wai6
为之,wai4 zi1
为例,wai4 lai6
为咗,wai6 zo2
为所欲为,wai4 so2 juk6 wai4
为止,wai4 zi2
为皮,wai4 pei2
主,zyu2
主人,zyu2 jan4
主人zaa1,zyu2 jan4 zaa1
主人家,zyu2 jan4 gaa1
主任,zyu2 jam6
主动,zyu2 dung6
主動,zyu2 dung6
主妇,zyu2 fu5
主婦,zyu2 fu5
主导,zyu2 dou6
主導,zyu2 dou6
主席,zyu2 zik6
主意,zyu2 ji3
主打,zyu2 daa2
主持,zyu2 ci4
主管,zyu2 gun2
主要,zyu2 jiu3
主觀,zyu2 gun1
主观,zyu2 gun1
主角,zyu2 gok3
主題,zyu2 tai4
主題曲,zyu2 tai4 kuk1
主题,zyu2 tai4
主题曲,zyu2 tai4 kuk1
丽珊,lai6 san1
举,geoi2
举例,geoi2 lai6
举手,geoi2 sau2
久,gau2
么,mo1
义不容情,ji6 bat1 jung4 cing4
之,zi1
之上,zi1 soeng6
之下,zi1 haa6
之中,zi1 zung1
之余,zi1 jyu4
之內,zi1 noi6
之内,zi1 noi6
之前,zi1 cin4
之后,zi1 hau6
之外,zi1 ngoi6
之後,zi1 hau6
之类,zi1 leoi2
之間,zi1 gaan1
之间,zi1 gaan1
之际,zi1 zai3
之際,zi1 zai3
之類,zi1 leoi2
之餘,zi1 jyu4
乌蝇,wu1 jing1
乐坛,ok6 taan4
乐意,lok6 ji3
乐趣,lok6 ceoi3
乐迷,ngok6 mai4
乐队,ngok6 deoi2
乔,kiu4
乖,gwaai1
乖乖仔仔,gwaai1 gwaai1 zai2 zai2
乖仔,gwaai1 zai2
乘客,sing4 haak3
乜,mat1
乜乜,mat1 mat1
乜嘢,mat1 je5
乜水,mat1 seoi2
乜野,mat1 je5
乜鬼,mat1 gwai2
九,gau2
九七,gau2 cat1
九七年,gau2 cat1 nin4
九二年,gau2 ji6 nin4
九五,gau2 ng5
九五年,gau2 ng5 nin4
九八年,gau2 baat3 nin4
九六年,gau2 luk6 nin4
九十,gau2 sap6
九十九,gau2 sap6 gau2
九十五,gau2 sap6 ng5
九十几,gau2 sap6 gei2
九十幾,gau2 sap6 gei2
九号,gau2 hou6
九唔搭八,gau2 m4 daap3 baat3
九巴,gau2 baa1
九成,gau2 sing4
九月,gau2 jyut6
九点,gau2 dim2
九点几,gau2 dim2 gei2
九点十,gau2 dim2 sap6
九点半,gau2 dim2 bun3
九点钟,gau2 dim2 zung1
九號,gau2 hou6
九零,gau2 ling4
九點,gau2 dim2
九點十,gau2 dim2 sap6
九點半,gau2 dim2 bun3
九點幾,gau2 dim2 gei2
九點鐘,gau2 dim2 zung1
九龍,gau2 lung4
九龍城,gau2 lung4 sing4
九龙,gau2 lung4
九龙城,gau2 lung4 sing4
乞人憎,haat1 jan4 zang1
习,zaap6
习惯,zaap6 gwaan3
习惯性,zaap6 gwaan3 sing3
乡下,hoeng1 haa2
乡音,hoeng1 jam1
书,syu1
书名,syu1 meng2
书城,syu1 sing4
书局,syu1 guk2
书展,syu1 zin2
书籍,syu1 zik6
书记,syu1 gei3
买,maai5
买嘢,maai5 je5
买家,maai5 gaa1
买返,maai5 faan1
乱,lyun6
乾,gon1
乾淨,gon1 zeng6
乾濕褸,gon1 sap1 lau1
乾脆,gon1 ceoi3
亂,lyun6
了,liu5
了哥,liu1 go1
争,zaang1
争取,zang1 ceoi2
争啲,zaang1 di1
争啲啲,zaang1 di1 di1
争在,zaang1 zoi6
争路,zaang1 lou6
事,si6
事业,si6 jip6
事件,si6 gin2
事关,si6 gwaan1
事宜,si6 ji4
事实,si6 sat6
事实上,si6 sat6 soeng6
事實,si6 sat6
事實上,si6 sat6 soeng6
事态,si6 taai3
事態,si6 taai3
事業,si6 jip6
事物,si6 mat6
事緣,si6 jyun4
事缘,si6 jyun4
事關,si6 gwaan1
二,ji6
二万五一,ji6 maan6 m5 jat1
二五万五,ji6 m5 maan6 m5
二五仔,ji6 ng5 zai2
二五萬五,ji6 m5 maan6 m5
二來,ji6 loi4
二六四零零,ji6 luk6 sei3 ling4 ling4
二十,ji6 sap6
二十一,ji6 sap6 jat1
二十九万,ji6 sap6 gau2 maan6
二十九萬,ji6 sap6 gau2 maan6
二十二日,ji6 sap6 ji6 jat6
二十八号,ji6 sap6 baat3 hou6
二十八號,ji6 sap6 baat3 hou6
二十四,ji6 sap6 sei3
二十四号,ji6 sap6 sei3 hou6
二十四號,ji6 sap6 sei3 hou6
二千,ji6 cin1
二千三,ji6 cin1 saam1
二千九,ji6 cin1 gau2
二千九百,ji6 cin1 gau2 baak3
二千二,ji6 cin1 ji6
二千四,ji6 cin1 sei3
二号,ji6 hou6
二手,ji6 sau2
二手摊,ji6 sau2 taan1
二手攤,ji6 sau2 taan1
二月,ji6 jyut6
二来,ji6 loi4
二氧化炭,ji6 joeng5 faa3 taan3
二百,ji6 baak3
二百一十六,ji6 baak3 jat1 sap6 luk6
二百几,ji6 baak3 gei2
二百幾,ji6 baak3 gei2
二萬五一,ji6 maan6 m5 jat1
二號,ji6 hou6
于,jyu1
于是,jyu1 si6
于是乎,jyu1 si6 fu4
亏,kwai1
五,ng5
五万,ng5 maan6
五几年,ng2 gei2 nin4
五十,ng5 sap6
五十二,m5 sap6 ji6
五十五,ng5 sap6 ng5
五千,ng5 cin1
五千几,ng5 cin1 gei2
五千幾,ng5 cin1 gei2
五号,ng5 hou6
五幾年,ng2 gei2 nin4
五星級,ng5 sing1 kap1
五星级,ng5 sing1 kap1
五月,ng5 jyut6
五月份,ng5 jyut6 fan6
五点,ng5 dim2
五点半,ng5 dim2 bun3
五点四,ng5 dim2 sei3
五百,ng5 baak3
五百五,ng5 baak3 ng5
五百五十八,ng5 baak3 ng5 sap6 baat3
五萬,ng5 maan6
五號,ng5 hou6
五顏六色,ng5 ngaan4 luk6 sik1
五颜六色,ng5 ngaan4 luk6 sik1
五點,ng5 dim2
五點半,ng5 dim2 bun3
五點四,ng5 dim2 sei3
亚军,aa3 gwan1
亚洲,aa3 zau1
亚视,aa3 si6
些少,se1 siu2
亞洲,aa3 zau1
亞視,aa3 si6
亞軍,aa3 gwan1
亡,mong4
交,gaau1
交代,gaau1 doi6
交叉,gaau1 caa1
交恶,gaau1 wu3
交惡,gaau1 wu3
交易,gaau1 jik6
交易场,gaau1 jik6 coeng4
交易場,gaau1 jik6 coeng4
交流,gaau1 lau4
交租,gaau1 zou1
交稅,gaau1 seoi3
交税,gaau1 seoi3
交通,gaau1 tung1
交通大学,gaau1 tung1 daai6 hok6
交通大學,gaau1 tung1 daai6 hok6
亦,jik6
亦仔,jik6 zai2
亦都,jik6 dou1
产,caan2
产品,caan2 ban2
产生,caan2 sang1
享受,hoeng2 sau6
享有,hoeng2 jau5
享用,hoeng2 jung6
亮,loeng6
亲,can1
亲人,can1 jan4
亲戚,can1 cik1
亲热,can1 jit6
亲眼,can1 ngaan5
亲自,can1 zi6
人,jan4
人一世,jan4 jat1 sai3
人人,jan4 jan4
人仕,jan4 si6
人口,jan4 hau2
人名,jan4 meng2
人员,jan4 jyun4
人哋,jan4 dei6
人員,jan4 jyun4
人场,jan4 coeng4
人場,jan4 coeng4
人墙,jan4 coeng4
人士,jan4 si6
人声,jan4 seng1
人客,jan4 haak3
人工,jan4 gung1
人心惶惶,jan4 sam1 wong4 wong4
人性,jan4 sing3
人情,jan4 cing4
人情味,jan4 cing4 mei6
人情还人情,jan4 cing4 waan4 jan4 cing4
人情還人情,jan4 cing4 waan4 jan4 cing4
人手,jan4 sau2
人数,jan4 sou3
人數,jan4 sou3
人权,jan4 kyun4
人格,jan4 gaak3
人權,jan4 kyun4
人气,jan4 hei3
人氣,jan4 hei3
人牆,jan4 coeng4
人物,jan4 mat2
人生,jan4 sang1
人类,jan4 leoi6
人聲,jan4 seng1
人証,jan4 zing3
人證,jan4 zing3
人证,jan4 zing3
人身安全,jan4 san1 on1 cyun4
人选,jan4 syun2
人造,jan4 zou6
人道,jan4 dou6
人選,jan4 syun2
人間,jan4 gaan1
人間蒸發,jan4 gaan1 zing1 faat3
人间,jan4 gaan1
人间蒸发,jan4 gaan1 zing1 faat3
人际关系,jan4 zai3 gwaan1 hai6
人際關係,jan4 zai3 gwaan1 hai6
人類,jan4 leoi6
什,sam6
仁心仁术,jan4 sam1 jan4 seot6
仁心仁術,jan4 sam1 jan4 seot6
仆,puk1
仆去,puk1 heoi3
仆直,puk1 zik6
仇人,sau4 jan4
今,gam1
今年,gam1 nin2
今日,gam1 jat6
今时今日,gam1 si4 gam1 jat6
今時今日,gam1 si4 gam1 jat6
今晚,gam1 maan5
今朝,gam1 ziu1
今次,gam1 ci3
介意,gaai3 ji3
介紹,gaai3 siu6
介绍,gaai3 siu6
仍然,jing4 jin4
从,cung4
从事,cung4 si6
从来,cung4 loi4
从而,cung4 ji4
仓,cong1
仔,zai2
仔細,zi2 sai3
仔细,zi2 sai3
他妈哥池,taa1 maa1 go1 ci4
他媽哥池,taa1 maa1 go1 ci4
他条,taa1 tiu4
他條,taa1 tiu4
付出,fu6 ceot1
仙境,sin1 ging2
代,doi6
代入,doi6 jap6
代替,doi6 tai3
代理,doi6 lei5
代糖,doi6 tong4
代表,doi6 biu2
令,ling6
令到,ling6 dou3
以,ji5
以上,ji5 soeng6
以下,ji5 haa6
以为,ji5 wai4
以來,ji5 lai4
以內,ji5 noi6
以内,ji5 noi6
以前,ji5 cin4
以及,ji5 kap6
以后,ji5 hau6
以往,ji5 wong5
以後,ji5 hau6
以来,ji5 lai4
以為,ji5 wai4
以至,ji5 zi3
以至到,ji5 zi3 dou3
仪器,ji4 hei3
仲,zung6
仲係,zung6 hai6
仲有,zung6 jau5
仲系,zung6 hai6
件,gin6
件件,gin6 gin6
价,gaa3
价位,gaa3 wai2
价值,gaa3 zik6
价钱,gaa3 cin4
任,jam6
任何,jam6 ho4
任务,jam6 mou6
任務,jam6 mou6
任天堂,jam6 tin1 tong4
份,fan6
份份,fan6 fan6
份量,fan6 loeng6
企,kei5
企业,kei5 jip6
企業,kei5 jip6
企理,kei5 lei5
企起身,kei5 hei2 san1
伏,buk6
伏喱喱,buk6 nei1 nei1
休,jau1
休息,jau1 sik1
休閒,jau1 haan4
休闲,jau1 haan4
众叛亲离,zung3 bun6 can1 lei4
优点,jau1 dim2
伙記,fo2 gei3
伙记,fo2 gei3
会,wui5
会考,wui6 haau2
会考教室,wui6 haau2 gaau3 sat1
会计师,wui6 gai3 si1
会议,wui6 ji5
伞,saan3
伟基马,wai5 gei1 maa5
伟大,wai5 daai6
传,cyun4
传媒,cyun4 mui4
传播,cyun4 bo3
传教士,cyun4 gaau3 si6
传染,cyun4 jim5
传真,cyun4 zan1
传统,cyun4 tung2
传统上,cyun4 tung2 soeng6
传译员,cyun4 jik6 jyun4
传说,cyun4 syut3
传送,cyun4 sung3
伤,soeng1
伤害,soeng1 hoi6
伤心,soeng1 sam1
伤残,soeng1 caan4
伦,leon4
伦敦,leon4 deon1
估,gu2
估計,gu2 gai3
估计,gu2 gai3
伴唱,bun6 coeng3
伸,san1
似,ci5
似乎,ci5 fu4
似层层,ci5 cang4 cang4
似層層,ci5 cang4 cang4
但,daan6
但係,daan6 hai6
但求,daan6 kau4
但系,daan6 hai6
佈局,bou3 guk6
佈置,bou3 zi3
位,wai2
位置,wai6 zi3
低,dai1
低处,dai1 cyu3
低能,dai1 nang4
低處,dai1 cyu3
低迷,dai1 mai4
住,zyu6
佐治古尼,zo2 zi6 gu2 nei4
佐治奥当奴,zo2 zi6 ou3 dong1 nou4
佐治奧當奴,zo2 zi6 ou3 dong1 nou4
佑,jau6
体外,tai2 ngoi6
体委,tai2 wai2
体育,tai2 juk6
体谅,tai2 loeng6
体质,tai2 zat1
佔,zim3
何,ho4
何來,ho4 loi4
何况,ho4 fong3
何必当初,ho4 bit1 dong1 co1
何必當初,ho4 bit1 dong1 co1
何来,ho4 loi4
何況,ho4 fong3
何謂,ho4 wai6
何谓,ho4 wai6
余,jyu4
佛教,fat6 gaau3
作,zok3
作为,zok3 wai4
作准,zok3 zeon2
作呕,zok3 au2
作品,zok3 ban2
作嘔,zok3 au2
作家,zok3 gaa1
作弊,zok3 bai6
作文,zok3 man2
作準,zok3 zeon2
作為,zok3 wai4
作用,zok3 jung6
作者,zok3 ze2
你,nei5
你哋,nei5 dei6
你有张良计,nei5 jau5 zoeng1 loeng4 gai3
你有張良計,nei5 jau5 zoeng1 loeng4 gai3
你有过墙梯,nei5 jau5 gwo3 coeng4 tai1
你有過牆梯,nei5 jau5 gwo3 coeng4 tai1
佢,keoi5
佢哋,keoi5 dei6
佢度,keoi5 dou6
佣金,jung2 gam1
佩,pui3
佬,lou2
佳,gaai1
使,sai2
使用,sai2 jung6
來,lai4
來到,lai4 dou3
來回,loi4 wui4
來源,loi4 jyun4
來臨,loi4 lam4
來自,lai4 zi6
來電,loi4 din6
來𡁵,lai4 gan2
來𡁵頭,lai4 gan2 tau4
例如,lai6 jyu4
例子,lai6 zi2
侍应,si6 jing3
侍應,si6 jing3
供,gung1
供会,gung1 wui2
供會,gung1 wui2
供給,gung1 kap1
供给,gung1 kap1
依家,ji1 gaa1
依然,ji1 jin4
依賴,ji1 laai6
依赖,ji1 laai6
侦缉,zing1 cap1
侦辑,zing1 cap1
侧边,zak1 bin1
侧面,zak1 min6
侵犯,cam1 faan6
侷限,guk6 haan6
便利,bin6 lei6
係,hai6
係咪,hai6 mai6
係唔係,hai6 m4 hai6
係嘢,hai6 je5
係噉,hai6 gam2
係噉先,hai6 gam2 sin1
係噉意,hai6 gam2 ji2
促銷,cuk1 siu1
促销,cuk1 siu1
俊兴,zeon3 hing1
俊興,zeon3 hing1
俚語,lei5 jyu5
俚语,lei5 jyu5
保,bou2
保值,bou2 zik6
保养,bou2 joeng5
保存,bou2 cyun4
保安,bou2 on1
保护,bou2 wu6
保留,bou2 lau4
保護,bou2 wu6
保险,bou2 him2
保障,bou2 zoeng3
保險,bou2 him2
保養,bou2 joeng5
信,seon3
信仰,seon3 joeng5
信和,seon3 wo2
信差,seon3 caai1
信得过,seon3 dak1 gwo3
信得過,seon3 dak1 gwo3
信心,seon3 sam1
信念,seon3 nim6
信用咭,seon3 jung6 kaat1
信誉,seon3 jyu6
信譽,seon3 jyu6
信道,seon3 dou6
俩,loeng5
修,sau1
俾,bei2
俾錢,bei2 cin2
俾钱,bei2 cin2
倆,loeng5
倉,cong1
個,go3
個三,go3 saam1
個人,go3 jan4
個個,go3 go3
個八,go3 baat3
個別,go3 bit6
個半,go3 bun3
個案,go3 on3
倍,pui5
倒,dou2
倒不如,dou2 bat1 jyu4
倒头来,dou3 tau4 loi4
倒轉頭,dou3 zyun3 tau4
倒转头,dou3 zyun3 tau4
倒閉,dou2 bai3
倒闭,dou2 bai3
倒頭來,dou3 tau4 loi4
倜,tik1
借,ze3
借书,ze3 syu1
借助,ze3 zo6
借口,ze3 hau2
借問聲,ze3 man6 seng1
借書,ze3 syu1
借问声,ze3 man6 seng1
倪,ngai4
倫,leon4
倫敦,leon4 deon1
值,zik6
值得,zik6 dak1
值錢,zik6 cin2
值钱,zik6 cin2
倾,king1
倾偈,king1 gai2
倾掂,king1 dim6
倾生意,king1 saang1 ji3
倾电话,king1 din6 waa2
倾计,king1 gai2
假,gaa3
假如,gaa2 jyu4
假期,gaa3 kei4
假設,gaa2 cit3
假设,gaa2 cit3
偈,gai2
偉基馬,wai5 gei1 maa5
偉大,wai5 daai6
偏,pin1
偏偏,pin1 pin1
偏向于,pin1 hoeng3 jyu1
偏向於,pin1 hoeng3 jyu1
偏帮,pin1 bong1
偏幫,pin1 bong1
做,zou6
做乜,zou6 mat1
做乜嘢,zou6 mat1 je5
做乜鬼,zou6 mat1 gwai2
做事,zou6 si6
做做,zou6 zou6
做冬,zou6 dung1
做到,zou6 dou3
做嘢,zou6 je5
做完,zou6 jyun4
做成,zou6 sing4
做法,zou6 faat3
